agent_id,o_node_id,d_node_id,link_sequence,departure_time
52_0,1,206,3;2;558;672;1372;1086;1088;1102;1379;673;675;1395;959;958;974;965;1179;1248;1249;1245;470,420.0
59_0,1,223,3;2;558;672;1372;1086;1088;1102;1379;673;675;1396;975;949;616;952;969;1226;417;333;339;348;352,420.0
60_0,1,223,3;2;558;672;1372;1086;1088;1102;1379;673;675;1396;975;949;616;952;969;1226;417;336;428;348;352,420.0
64_0,1,241,3;2;558;672;1371;1023;1025;1026;1000;1001;1029;1401;590;1427;845;548,420.0
67_0,1,287,3;2;558;672;1372;1086;1088;1102;1379;673;675;1396;975;949;614,420.0
68_0,1,305,3;2;558;672;1372;1086;1088;1102;1379;673;675;1396;975;949;616;952;969;1226;417;336;430;647,420.0
71_0,1,313,3;2;558;672;1372;1086;1088;1102;1379;673;675;1395;959;958;974;963;962;1380;736;1407;1359;660,420.0
100_0,1,431,3;2;558;672;1371;1023;1025;1026;1000;1001;1029;1402,420.0
100_1,1,431,3;2;558;672;1371;1023;1025;1026;1000;1001;1029;1402,450.0
101_0,1,433,3;2;558;672;1372;1086;1088;1102;1379;673;675;1396;975;949;616;952;968;971;953;955;839;836,420.0
109_0,1,708,3;2;558;672;1372;1086;1088;1102;1379;673;675;1396;975;949;616;952;970;1229,420.0
111_0,1,727,3;2;558;672;1370;1003;1004;1006;998;999;1210;1211;1009;1010;1012;1214;690;1013;1016;886;887;1387;737;553;554,420.0
115_0,1,756,3;2;558;672;1372;1086;1088;1102;1379;673;675;1395;959;958;974;963;962;1380;736;1407;1358;658;492;43;42,420.0
118_0,1,772,3;2;558;672;1372;1086;1088;1102;1379;673;675;1397;1103;1096;1098;1092;768;591;767;1091;1340,420.0
128_0,2,40,4;7;715;725;518;431;227;708;488;711;201;210;531;379;463;652;24;29,420.0
131_0,2,52,4;7;715;725;518;431;227;708;488;711;201;210;531;379;463;652;24;27;16,420.0
140_0,2,85,4;7;715;725;518;431;227;708;488;711;200,420.0
140_1,2,85,4;7;715;725;518;431;227;708;488;711;200,450.0
