link_id,name,osm_way_id,from_node_id,to_node_id,directed,geometry,dir_flag,length,facility_type,link_type,free_speed,free_speed_raw,lanes,capacity,allowed_uses,toll,notes
1,North Scottsdale Road,5589756,0,1,1,"LINESTRING (-111.9262877 33.4312176, -111.9262831 33.4326057, -111.9262763 33.43289, -111.9262698 33.4335976)",1,264.65,primary,3,56,35 mph,3,5400,auto,,
2,North Scottsdale Road,28752533,0,251,1,"LINESTRING (-111.9262877 33.4312176, -111.926289 33.4298413)",1,153.04,primary,3,56,35 mph,3,5400,auto,,
3,North Scottsdale Road,5589756,1,0,1,"LINESTRING (-111.9262698 33.4335976, -111.9262763 33.43289, -111.9262831 33.4326057, -111.9262877 33.4312176)",1,264.65,primary,3,56,35 mph,3,5400,auto,,
4,South Farmer Avenue,5590090,2,3,1,"LINESTRING (-111.944268 33.4307934, -111.9442601 33.4299032, -111.9442568 33.4295279, -111.9442567 33.4295155)",1,142.1,residential,6,30,,1,1000,auto,,
5,South Farmer Avenue,5590090,3,2,1,"LINESTRING (-111.9442567 33.4295155, -111.9442568 33.4295279, -111.9442601 33.4299032, -111.944268 33.4307934)",1,142.1,residential,6,30,,1,1000,auto,,
6,West 1st Street,23617739,3,234,1,"LINESTRING (-111.9442567 33.4295155, -111.9441049 33.4295148, -111.9438891 33.4295138, -111.9435847 33.4295124, -111.9435008 33.42952, -111.9434575 33.4295241, -111.9434283 33.4295304)",1,77.04,tertiary,5,40,,1,1200,auto,,
7,South Farmer Avenue,305490064,3,355,1,"LINESTRING (-111.9442567 33.4295155, -111.9442632 33.4293622, -111.9442672 33.4292694, -111.9442868 33.4292012, -111.9443252 33.4291446)",1,42.41,tertiary,5,40,,1,1200,auto,,
8,South Farmer Avenue,5590095,4,5,1,"LINESTRING (-111.9442945 33.4087687, -111.9442952 33.4084887, -111.9442936 33.4084544, -111.9442889 33.408425, -111.9442766 33.4084023, -111.9442611 33.4083835, -111.9442462 33.4083709, -111.9442274 33.4083589, -111.9442059 33.40835, -111.9441794 33.4083439, -111.9441038 33.4083348, -111.9440694 33.4083262, -111.9440387 33.4083126, -111.9440135 33.4082963, -111.9439916 33.4082756, -111.9439742 33.4082548, -111.9439609 33.4082295, -111.9439524 33.408205, -111.9439501 33.4081815, -111.9439487 33.4081293, -111.9439497 33.4074788, -111.9439499 33.4073767)",1,173.02,residential,6,40,25 mph,1,1000,auto,,
9,South Farmer Avenue,5590095,4,6,1,"LINESTRING (-111.9442945 33.4087687, -111.9442946 33.409073, -111.9442946 33.4091443, -111.9442959 33.4095166)",1,83.16,residential,6,40,25 mph,1,1000,auto,,
10,West 19th Street,5663684,4,202,1,"LINESTRING (-111.9442945 33.4087687, -111.9478561 33.4087626)",1,330.59,residential,6,30,,1,1000,auto,,
11,South Farmer Avenue,5590095,5,4,1,"LINESTRING (-111.9439499 33.4073767, -111.9439497 33.4074788, -111.9439487 33.4081293, -111.9439501 33.4081815, -111.9439524 33.408205, -111.9439609 33.4082295, -111.9439742 33.4082548, -111.9439916 33.4082756, -111.9440135 33.4082963, -111.9440387 33.4083126, -111.9440694 33.4083262, -111.9441038 33.4083348, -111.9441794 33.4083439, -111.9442059 33.40835, -111.9442274 33.4083589, -111.9442462 33.4083709, -111.9442611 33.4083835, -111.9442766 33.4084023, -111.9442889 33.408425, -111.9442936 33.4084544, -111.9442952 33.4084887, -111.9442945 33.4087687)",1,173.02,residential,6,40,25 mph,1,1000,auto,,
12,West Broadway Road,778399534,5,759,1,"LINESTRING (-111.9439499 33.4073767, -111.9440359 33.4073758, -111.944424 33.4073707, -111.9446083 33.4073714, -111.9447304 33.4073721, -111.9449251 33.4073721, -111.9451487 33.4073726, -111.9452064 33.4073725, -111.9454228 33.4073737, -111.9457548 33.4073754, -111.9459056 33.4073759, -111.9459726 33.4073763, -111.946361 33.4073785, -111.946542 33.4073781, -111.9467583 33.4073777, -111.9470456 33.4073788, -111.9471998 33.4073794)",1,301.67,secondary,4,60,,2,3200,auto,,
13,West Broadway Road,778399534,5,760,1,"LINESTRING (-111.9439499 33.4073767, -111.9438761 33.4073773)",1,6.85,secondary,4,60,,3,4800,auto,,
14,South Farmer Avenue,5590095,6,4,1,"LINESTRING (-111.9442959 33.4095166, -111.9442946 33.4091443, -111.9442946 33.409073, -111.9442945 33.4087687)",1,83.16,residential,6,40,25 mph,1,1000,auto,,
15,South Farmer Avenue,5590095,6,7,1,"LINESTRING (-111.9442959 33.4095166, -111.9442956 33.4097688, -111.9442959 33.4098926, -111.9442963 33.410264)",1,83.11,residential,6,40,25 mph,1,1000,auto,,
16,West 18th Street,5693071,6,232,1,"LINESTRING (-111.9442959 33.4095166, -111.9478595 33.4095102)",1,330.78,residential,6,30,,1,1000,auto,,
17,South Farmer Avenue,5590095,7,6,1,"LINESTRING (-111.9442963 33.410264, -111.9442959 33.4098926, -111.9442956 33.4097688, -111.9442959 33.4095166)",1,83.11,residential,6,40,25 mph,1,1000,auto,,
18,South Farmer Avenue,5590095,7,8,1,"LINESTRING (-111.9442963 33.410264, -111.9442992 33.4106384, -111.9443008 33.4108613, -111.9443024 33.4110208)",1,84.15,residential,6,40,25 mph,1,1000,auto,,
19,West 17th Place,5668143,7,210,1,"LINESTRING (-111.9442963 33.410264, -111.9478585 33.410258)",1,330.64,residential,6,30,,1,1000,auto,,
20,South Farmer Avenue,5590095,8,7,1,"LINESTRING (-111.9443024 33.4110208, -111.9443008 33.4108613, -111.9442992 33.4106384, -111.9442963 33.410264)",1,84.15,residential,6,40,25 mph,1,1000,auto,,
21,South Farmer Avenue,5590095,8,9,1,"LINESTRING (-111.9443024 33.4110208, -111.9443073 33.411888, -111.9443088 33.4130312, -111.9443094 33.4131817)",1,240.28,residential,6,40,25 mph,1,1000,auto,,
22,West 17th Street,5609517,8,89,1,"LINESTRING (-111.9443024 33.4110208, -111.9447312 33.4110216, -111.9478586 33.4110287)",1,330.08,residential,6,30,,1,1000,auto,,
23,West 17th Street,5609517,8,90,1,"LINESTRING (-111.9443024 33.4110208, -111.9439296 33.411019)",1,34.6,residential,6,30,,1,1000,auto,,
24,South Farmer Avenue,5590095,9,8,1,"LINESTRING (-111.9443094 33.4131817, -111.9443088 33.4130312, -111.9443073 33.411888, -111.9443024 33.4110208)",1,240.28,residential,6,40,25 mph,1,1000,auto,,
25,South Farmer Avenue,5590095,9,11,1,"LINESTRING (-111.9443094 33.4131817, -111.9443138 33.4139026)",1,80.16,residential,6,40,25 mph,1,1000,auto,,
26,West Parkway Boulevard,5601059,9,52,1,"LINESTRING (-111.9443094 33.4131817, -111.9447393 33.413184, -111.9451702 33.4131851, -111.9478675 33.413197)",1,330.26,residential,6,30,,1,1000,auto,,
27,South Farmer Avenue,5590095,10,11,1,"LINESTRING (-111.9442875 33.4146337, -111.9442873 33.4145578, -111.9442885 33.4144819, -111.9442932 33.4144534, -111.9443066 33.4144231, -111.944311 33.4143981, -111.9443115 33.4142442, -111.9443138 33.4139026)",1,81.58,residential,6,40,25 mph,1,1000,auto,,
28,West 13th Street,196248326,10,308,1,"LINESTRING (-111.9442875 33.4146337, -111.9442483 33.4146347)",1,3.64,residential,6,40,25 mph,1,1000,auto,,
29,West 13th Street,196248326,10,309,1,"LINESTRING (-111.9442875 33.4146337, -111.944368 33.4146334, -111.9450135 33.4146366, -111.9457642 33.4146384, -111.9465222 33.4146426, -111.9472669 33.414644, -111.9478717 33.414646, -111.9479107 33.414646, -111.9479659 33.4146465, -111.9480272 33.4146453, -111.9480986 33.414642, -111.9481767 33.4146344, -111.9482507 33.4146253, -111.9483125 33.4146159, -111.9483742 33.4146045, -111.9484312 33.4145913, -111.9485063 33.4145698, -111.9487729 33.41449, -111.9488678 33.4144666, -111.9489358 33.4144536, -111.9490002 33.4144447, -111.9490605 33.4144391, -111.9491232 33.4144356, -111.9494616 33.4144373, -111.9502908 33.4144437, -111.9505356 33.414445, -111.9511889 33.4144444, -111.9512589 33.4144451, -111.9513283 33.4144506, -111.9513971 33.4144597, -111.9514735 33.4144749, -111.9515603 33.4144937, -111.9516509 33.4145166, -111.9517025 33.4145338, -111.9518277 33.4145831, -111.9518768 33.4146011, -111.9519298 33.4146179, -111.9519908 33.4146336, -111.9520542 33.4146439, -111.9520978 33.4146476, -111.9521427 33.4146504, -111.9521874 33.4146526)",1,740.14,residential,6,40,25 mph,1,1000,auto,,
30,South Farmer Avenue,5590095,11,9,1,"LINESTRING (-111.9443138 33.4139026, -111.9443094 33.4131817)",1,80.16,residential,6,40,25 mph,1,1000,auto,,
31,South Farmer Avenue,5590095,11,10,1,"LINESTRING (-111.9443138 33.4139026, -111.9443115 33.4142442, -111.944311 33.4143981, -111.9443066 33.4144231, -111.9442932 33.4144534, -111.9442885 33.4144819, -111.9442873 33.4145578, -111.9442875 33.4146337)",1,81.58,residential,6,40,25 mph,1,1000,auto,,
