node_id,zone_id,x_coord,y_coord,production,attraction
0,0,-111.926288,33.431218,0,0
1,1,-111.92627,33.433598,2100,2100
2,2,-111.944268,33.430793,2200,2200
3,0,-111.944257,33.429516,0,0
4,0,-111.944296,33.410264,0,0
5,0,-111.944296,33.409517,0,0
6,0,-111.944309,33.413182,0,0
7,0,-111.944302,33.411021,0,0
8,0,-111.944294,33.408769,0,0
9,0,-111.944288,33.414634,0,0
10,0,-111.944314,33.413903,0,0
11,0,-111.94395,33.407377,0,0
12,0,-111.930426,33.423127,0,0
13,0,-111.92908,33.424299,0,0
14,0,-111.941269,33.424338,0,0
16,0,-111.937633,33.424357,0,0
17,0,-111.936666,33.424359,0,0
18,0,-111.934981,33.424335,0,0
19,0,-111.941261,33.421931,0,0
20,0,-111.94123,33.420522,0,0
21,0,-111.939277,33.408668,0,0
22,0,-111.936012,33.409506,0,0
23,0,-111.930125,33.410444,0,0
24,24,-111.926512,33.410459,1500,1500
25,25,-111.924233,33.411912,300,300
26,0,-111.923252,33.411891,0,0
27,0,-111.942395,33.419048,0,0
28,0,-111.942377,33.420431,0,0
29,0,-111.942453,33.417618,0,0
30,0,-111.94234,33.413615,0,0
31,0,-111.942419,33.414728,0,0
32,0,-111.942453,33.41619,0,0
33,0,-111.909083,33.419002,0,0
34,34,-111.901613,33.419261,0,0
35,0,-111.931145,33.409333,0,0
36,0,-111.931257,33.40846,0,0
37,0,-111.931125,33.407606,0,0
38,38,-111.910808,33.418129,1100,1100
39,0,-111.910665,33.417404,0,0
40,40,-111.94787,33.413917,0,0
41,0,-111.939732,33.411911,0,0
42,0,-111.937962,33.411944,0,0
43,0,-111.936572,33.411957,0,0
44,0,-111.93493,33.411978,0,0
45,0,-111.930685,33.412048,0,0
46,0,-111.920965,33.412878,0,0
47,0,-111.920949,33.41231,0,0
48,0,-111.920942,33.411687,0,0
49,0,-111.920944,33.411348,0,0
50,0,-111.922615,33.407446,0,0
51,51,-111.921125,33.399366,0,0
52,52,-111.947868,33.413197,0,0
53,53,-111.939842,33.408653,1200,1200
54,0,-111.939779,33.408663,0,0
55,0,-111.938179,33.408598,0,0
56,0,-111.927975,33.407503,0,0
57,57,-111.92794,33.403463,0,0
58,0,-111.928383,33.409745,0,0
59,0,-111.928375,33.409047,0,0
60,0,-111.938292,33.414922,0,0
61,0,-111.937367,33.414647,0,0
63,0,-111.937022,33.414608,0,0
65,0,-111.940778,33.426459,0,0
67,0,-111.912868,33.41707,0,0
68,0,-111.911792,33.417068,0,0
69,0,-111.913891,33.416925,0,0
70,0,-111.916503,33.416931,0,0
71,71,-111.917612,33.416932,800,800
72,0,-111.909111,33.416844,0,0
73,0,-111.907646,33.416854,0,0
74,74,-111.907336,33.416855,500,500
76,0,-111.912455,33.413554,0,0
77,0,-111.912455,33.412594,0,0
78,0,-111.912455,33.411634,0,0
79,0,-111.913249,33.406504,0,0
80,80,-111.913249,33.404954,1600,1600
81,0,-111.913248,33.407441,0,0
84,0,-111.944246,33.419402,0,0
85,85,-111.947969,33.41941,100,100
86,0,-111.941235,33.419057,0,0
88,0,-111.944245,33.418917,0,0
89,89,-111.94393,33.411019,400,400
90,90,-111.947859,33.411029,0,0
91,91,-111.942634,33.41361,1000,1000
92,0,-111.939893,33.413627,0,0
93,0,-111.92652,33.408338,0,0
94,0,-111.92652,33.409055,0,0
95,0,-111.921991,33.412895,0,0
96,96,-111.922104,33.411513,600,600
100,0,-111.944299,33.423177,0,0
101,101,-111.945757,33.423178,200,200
102,0,-111.935273,33.409579,0,0
103,0,-111.933838,33.409312,0,0
104,0,-111.930115,33.409341,0,0
105,0,-111.930117,33.409735,0,0
106,0,-111.92925,33.40974,0,0
107,0,-111.939416,33.425497,0,0
108,0,-111.938161,33.425495,0,0
109,0,-111.936672,33.425499,0,0
112,0,-111.912346,33.415789,0,0
113,0,-111.909027,33.420858,0,0
114,0,-111.908341,33.420857,0,0
115,0,-111.909172,33.420861,0,0
116,0,-111.912825,33.419495,0,0
117,0,-111.912825,33.418373,0,0
118,0,-111.918283,33.41288,0,0
119,119,-111.918275,33.411264,1200,1200
120,0,-111.928844,33.418046,0,0
121,0,-111.929404,33.416644,0,0
122,0,-111.937071,33.41353,0,0
123,0,-111.934933,33.413547,0,0
124,124,-111.93012,33.406651,300,300
125,125,-111.930137,33.404229,0,0
126,0,-111.930121,33.407611,0,0
127,0,-111.930122,33.407527,0,0
128,0,-111.930117,33.408309,0,0
129,0,-111.919406,33.41287,0,0
130,130,-111.919399,33.411264,1100,1100
131,0,-111.911797,33.41615,0,0
132,0,-111.911797,33.418377,0,0
133,0,-111.93389,33.40961,0,0
134,0,-111.933729,33.408445,0,0
135,0,-111.933823,33.407589,0,0
136,0,-111.920315,33.412877,0,0
137,0,-111.920291,33.411353,0,0
138,0,-111.922591,33.412895,0,0
139,139,-111.922574,33.411108,700,700
140,0,-111.941978,33.407397,0,0
141,0,-111.943326,33.407379,0,0
142,0,-111.940594,33.407403,0,0
143,0,-111.934417,33.407454,0,0
144,0,-111.934373,33.407454,0,0
145,0,-111.917713,33.41943,0,0
146,0,-111.91469,33.419446,0,0
147,0,-111.926238,33.420976,0,0
148,0,-111.909077,33.41953,0,0
149,149,-111.941978,33.406618,400,400
150,0,-111.914694,33.418368,0,0
151,0,-111.914697,33.417654,0,0
152,0,-111.914751,33.416151,0,0
153,0,-111.914759,33.414841,0,0
154,0,-111.929028,33.407443,0,0
155,155,-111.929021,33.403456,0,0
156,0,-111.929029,33.407539,0,0
157,0,-111.92925,33.408309,0,0
158,0,-111.936655,33.417483,0,0
159,0,-111.936628,33.416206,0,0
161,0,-111.935964,33.407438,0,0
162,162,-111.935968,33.405617,200,200
163,0,-111.937085,33.414524,0,0
164,0,-111.944241,33.416822,0,0
165,165,-111.953246,33.416883,0,0
166,0,-111.932918,33.406616,0,0
167,167,-111.932935,33.405634,100,100
168,0,-111.917064,33.412952,0,0
169,0,-111.926297,33.412883,0,0
170,0,-111.923261,33.412895,0,0
171,0,-111.920428,33.412883,0,0
173,0,-111.938118,33.419078,0,0
174,0,-111.923722,33.407579,0,0
175,0,-111.923719,33.407967,0,0
176,176,-111.923257,33.411219,200,200
177,0,-111.914257,33.411626,0,0
178,178,-111.910815,33.411634,600,600
179,0,-111.915742,33.411856,0,0
180,0,-111.909103,33.418194,0,0
181,181,-111.907286,33.418193,0,0
182,0,-111.917708,33.420025,0,0
183,0,-111.917729,33.416671,0,0
184,0,-111.917699,33.415184,0,0
185,0,-111.91774,33.417662,0,0
186,0,-111.917737,33.418376,0,0
187,0,-111.944303,33.42432,0,0
188,188,-111.947284,33.424331,0,0
189,0,-111.917123,33.413629,0,0
190,0,-111.914257,33.413561,0,0
191,191,-111.910773,33.413554,1100,1100
192,0,-111.938129,33.420515,0,0
193,0,-111.908328,33.42,0,0
194,194,-111.90626,33.420188,1100,1100
195,0,-111.934976,33.423209,0,0
197,0,-111.934928,33.42544,0,0
198,0,-111.941205,33.416204,0,0
199,0,-111.939978,33.416206,0,0
200,0,-111.94424,33.416068,0,0
201,201,-111.952191,33.416015,100,100
202,202,-111.947856,33.408763,0,0
203,0,-111.917122,33.414605,0,0
