link_id,name,osm_way_id,from_node_id,to_node_id,directed,geometry,dir_flag,length,facility_type,link_type,free_speed,free_speed_raw,lanes,capacity,allowed_uses,toll,notes
1,,5561182,0,1,1,"LINESTRING (-112.001567 33.4107312, -112.0002222 33.4105976, -111.9997637 33.4105533, -111.9989961 33.4104802)",1,240.26,motorway,1,120,,1,2300,auto,,
2,Maricopa Freeway,528417963,0,3043,1,"LINESTRING (-112.001567 33.4107312, -112.0013345 33.4107321, -111.9946601 33.4107567)",1,641.1,motorway,1,105,65 mph,5,11500,auto,,
3,,1222458602,1,3695,1,"LINESTRING (-111.9989961 33.4104802, -111.9986169 33.4104442, -111.9979101 33.4104067, -111.9968323 33.4103571)",1,201.35,motorway,1,120,,2,4600,auto,,
4,,5561308,2,3,1,"LINESTRING (-111.9678428 33.3922814, -111.9679425 33.3916617, -111.9680631 33.3906266, -111.9681489 33.390211, -111.9682631 33.3899066, -111.9683834 33.3896201, -111.9686296 33.3891002, -111.968784 33.388706, -111.9688882 33.3884239, -111.9689376 33.3881622, -111.9689557 33.3879177, -111.9689483 33.3876428, -111.9689225 33.3873991, -111.9688355 33.3870505, -111.9686553 33.3865195, -111.968502 33.386076, -111.9683807 33.3856674, -111.9683481 33.3855194, -111.9683023 33.3852986, -111.9682631 33.3849713, -111.9682525 33.3845905, -111.9682176 33.3842412)",1,915.53,motorway,1,120,,1,2300,auto,,
5,Maricopa Freeway,883683871,2,451,1,"LINESTRING (-111.9678428 33.3922814, -111.9678659 33.3901045, -111.9678702 33.3888885, -111.9678744 33.3877038, -111.9679557 33.3853155, -111.9679739 33.3842477, -111.9679782 33.3834012, -111.9679957 33.3829334, -111.9680804 33.3803219, -111.9681308 33.3784514)",1,1538.14,motorway,1,105,65 mph,4,9200,auto,,
6,,528072133,3,449,1,"LINESTRING (-111.9682176 33.3842412, -111.9682262 33.3834066, -111.968251 33.3824279)",1,201.66,motorway,1,120,,3,6900,auto,,
7,,5561952,4,5,1,"LINESTRING (-112.001551 33.4589597, -112.0006473 33.4589273, -111.998433 33.4589518, -111.9982271 33.4589541, -111.9980698 33.4589534, -111.9979257 33.4589503)",1,336.41,motorway,1,120,,1,2300,auto,,
8,Red Mountain Freeway,123445174,4,705,1,"LINESTRING (-112.001551 33.4589597, -111.9994605 33.4591082, -111.9991997 33.4591269, -111.9989366 33.4591453, -111.998679 33.4591595, -111.9984167 33.4591746, -111.9981576 33.4591827, -111.9978979 33.4591873, -111.9976361 33.459189, -111.9973686 33.4591864, -111.9971086 33.4591786, -111.9968464 33.4591679, -111.996595 33.4591555, -111.9963359 33.4591377, -111.9954642 33.4590677)",1,566.21,motorway,1,105,65 mph,6,13800,auto,,
9,,653489773,5,1692,1,"LINESTRING (-111.9979257 33.4589503, -111.9978298 33.4589489, -111.9977292 33.4589446, -111.9976027 33.4589356, -111.9974644 33.4589245, -111.9973124 33.4589114, -111.9970909 33.4588885, -111.9968556 33.4588622, -111.9966118 33.4588324, -111.9962046 33.4587762)",1,160.96,motorway,1,120,,1,2300,auto,,
10,South 48th Street,5562004,6,7,1,"LINESTRING (-111.9782891 33.4073275, -111.9782267 33.4075043, -111.9781871 33.4076127, -111.9782096 33.4086817, -111.9781974 33.4093667)",1,228.16,secondary,4,56,35 mph,3,4800,auto,,
11,South 48th Street,402539583,6,1539,1,"LINESTRING (-111.9782891 33.4073275, -111.9782917 33.4071469, -111.9782975 33.4067445, -111.9782995 33.4066084, -111.9783007 33.4065284, -111.9783028 33.4064349)",1,99.26,secondary,4,72,45 mph,3,4800,auto,,
12,East Broadway Road,437684050,6,2600,1,"LINESTRING (-111.9782891 33.4073275, -111.9785179 33.4073268, -111.978681 33.4073263, -111.978821 33.4073258, -111.978961 33.4073254, -111.978976 33.4073253)",1,63.76,secondary,4,72,45 mph,3,4800,auto,,
13,,1282109260,6,3699,1,"LINESTRING (-111.9782891 33.4073275, -111.9780653 33.4072629, -111.9775921 33.4072645, -111.9771984 33.4072777, -111.9767946 33.4073137, -111.9763937 33.4073821, -111.9761691 33.4074347, -111.9759971 33.4074805, -111.9758412 33.4075263, -111.9755705 33.4076187, -111.9752062 33.4077738, -111.9750525 33.4078546)",1,313.87,secondary,4,60,,2,3200,auto,,
14,Hohokam Expressway,5664827,7,116,1,"LINESTRING (-111.9781974 33.4093667, -111.9784773 33.410114)",1,87.06,motorway,1,72,45 mph,3,6900,auto,,
15,,5562696,8,9,1,"LINESTRING (-112.0062131 33.4592517, -112.0067164 33.4593601, -112.0075724 33.4594959, -112.0078436 33.4595714)",1,155.57,motorway,1,120,,1,2300,auto,,
16,Red Mountain Freeway,123445173,8,783,1,"LINESTRING (-112.0062131 33.4592517, -112.0067329 33.4593006, -112.0075092 33.4594302, -112.0078847 33.4594884)",1,157.4,motorway,1,105,65 mph,4,9200,auto,,
