node_id = 0, FirstLinkFrom = 1, LastLinkFrom = 2 
node_id = 1, FirstLinkFrom = 3, LastLinkFrom = 3 
node_id = 2, FirstLinkFrom = 4, LastLinkFrom = 5 
node_id = 3, FirstLinkFrom = 6, LastLinkFrom = 6 
node_id = 4, FirstLinkFrom = 7, LastLinkFrom = 8 
node_id = 5, FirstLinkFrom = 9, LastLinkFrom = 9 
node_id = 6, FirstLinkFrom = 10, LastLinkFrom = 13 
node_id = 7, FirstLinkFrom = 14, LastLinkFrom = 14 
node_id = 8, FirstLinkFrom = 15, LastLinkFrom = 16 
node_id = 9, FirstLinkFrom = 0, LastLinkFrom = -1 
node_id = 10, FirstLinkFrom = 17, LastLinkFrom = 17 
node_id = 11, FirstLinkFrom = 18, LastLinkFrom = 18 
node_id = 12, FirstLinkFrom = 19, LastLinkFrom = 20 
node_id = 13, FirstLinkFrom = 21, LastLinkFrom = 21 
node_id = 14, FirstLinkFrom = 22, LastLinkFrom = 23 
node_id = 15, FirstLinkFrom = 24, LastLinkFrom = 24 
node_id = 16, FirstLinkFrom = 25, LastLinkFrom = 26 
node_id = 17, FirstLinkFrom = 27, LastLinkFrom = 27 
node_id = 18, FirstLinkFrom = 28, LastLinkFrom = 29 
node_id = 19, FirstLinkFrom = 30, LastLinkFrom = 30 
node_id = 20, FirstLinkFrom = 31, LastLinkFrom = 32 
node_id = 21, FirstLinkFrom = 33, LastLinkFrom = 33 
node_id = 22, FirstLinkFrom = 34, LastLinkFrom = 35 
node_id = 23, FirstLinkFrom = 36, LastLinkFrom = 36 
node_id = 24, FirstLinkFrom = 37, LastLinkFrom = 38 
node_id = 25, FirstLinkFrom = 39, LastLinkFrom = 39 
node_id = 26, FirstLinkFrom = 40, LastLinkFrom = 41 
node_id = 27, FirstLinkFrom = 42, LastLinkFrom = 42 
node_id = 28, FirstLinkFrom = 43, LastLinkFrom = 44 
node_id = 29, FirstLinkFrom = 45, LastLinkFrom = 45 
node_id = 30, FirstLinkFrom = 46, LastLinkFrom = 47 
node_id = 31, FirstLinkFrom = 48, LastLinkFrom = 48 
node_id = 32, FirstLinkFrom = 49, LastLinkFrom = 50 
node_id = 33, FirstLinkFrom = 51, LastLinkFrom = 51 
node_id = 34, FirstLinkFrom = 52, LastLinkFrom = 53 
node_id = 35, FirstLinkFrom = 54, LastLinkFrom = 54 
